  629.00,    0.44
  630.00,    0.45
  631.00,    0.45
  632.00,    0.46
  633.00,    0.46
  634.00,    0.47
  635.00,    0.47
  636.00,    0.48
  637.00,    0.49
  638.00,    0.48
  639.00,    0.49
  640.00,    0.49
  641.00,    0.50
  642.00,    0.50
  643.00,    0.51
  644.00,    0.52
  645.00,    0.52
  646.00,    0.53
  647.00,    0.54
  648.00,    0.55
  649.00,    0.55
  650.00,    0.57
  651.00,    0.57
  652.00,    0.59
  653.00,    0.60
  654.00,    0.62
  655.00,    0.63
  656.00,    0.65
  657.00,    0.67
  658.00,    0.69
  659.00,    0.72
  660.00,    0.74
  661.00,    0.76
  662.00,    0.80
  663.00,    0.82
  664.00,    0.86
  665.00,    0.88
  666.00,    0.92
  667.00,    0.95
  668.00,    0.99
  669.00,    1.03
  670.00,    1.06
  671.00,    1.09
  672.00,    1.12
  673.00,    1.16
  674.00,    1.19
  675.00,    1.23
  676.00,    1.26
  677.00,    1.29
  678.00,    1.32
  679.00,    1.34
  680.00,    1.37
  681.00,    1.38
  682.00,    1.40
  683.00,    1.41
  684.00,    1.43
  685.00,    1.43
  686.00,    1.43
  687.00,    1.43
  688.00,    1.43
  689.00,    1.42
  690.00,    1.41
  691.00,    1.40
  692.00,    1.39
  693.00,    1.35
  694.00,    1.33
  695.00,    1.30
  696.00,    1.27
  697.00,    1.23
  698.00,    1.19
  699.00,    1.15
  700.00,    1.10
  701.00,    1.07
  702.00,    1.02
  703.00,    0.98
  704.00,    0.93
  705.00,    0.88
  706.00,    0.84
  707.00,    0.79
  708.00,    0.74
  709.00,    0.70
  710.00,    0.65
  711.00,    0.61
  712.00,    0.56
  713.00,    0.53
  714.00,    0.49
  715.00,    0.45
  716.00,    0.42
  717.00,    0.39
  718.00,    0.36
  719.00,    0.33
  720.00,    0.31
  721.00,    0.28
  722.00,    0.26
  723.00,    0.24
  724.00,    0.22
  725.00,    0.21
  726.00,    0.19
  727.00,    0.18
  728.00,    0.17
  729.00,    0.16
  730.00,    0.15
  731.00,    0.14
  732.00,    0.13
  733.00,    0.12
  734.00,    0.11
  735.00,    0.11
  736.00,    0.10
  737.00,    0.10
  738.00,    0.09
  739.00,    0.09
  740.00,    0.08
  741.00,    0.08
  742.00,    0.07
  743.00,    0.07
  744.00,    0.07
  745.00,    0.06
  746.00,    0.06
  747.00,    0.06
  748.00,    0.06
  749.00,    0.05
  750.00,    0.05
  751.00,    0.05
  752.00,    0.05
