  350.00,    6.00
  351.00,    6.00
  352.00,    6.00
  353.00,    0.72
  354.00,    2.11
  355.00,    6.00
  356.00,    0.64
  357.00,    0.56
  358.00,    0.71
  359.00,    0.58
  360.00,    0.68
  361.00,    0.71
  362.00,    0.62
  363.00,    0.70
  364.00,    0.44
  365.00,    0.55
  366.00,    0.45
  367.00,    0.41
  368.00,    0.51
  369.00,    0.38
  370.00,    0.46
  371.00,    0.26
  372.00,    0.28
  373.00,    0.39
  374.00,    0.40
  375.00,    0.42
  376.00,    0.32
  377.00,    0.30
  378.00,    0.28
  379.00,    0.29
  380.00,    0.28
  381.00,    0.27
  382.00,    0.24
  383.00,    0.24
  384.00,    0.22
  385.00,    0.21
  386.00,    0.20
  387.00,    0.18
  388.00,    0.18
  389.00,    0.15
  390.00,    0.16
  391.00,    0.16
  392.00,    0.15
  393.00,    0.13
  394.00,    0.13
  395.00,    0.13
  396.00,    0.12
  397.00,    0.13
  398.00,    0.12
  399.00,    0.12
  400.00,    0.11
  401.00,    0.12
  402.00,    0.11
  403.00,    0.12
  404.00,    0.11
  405.00,    0.11
  406.00,    0.12
  407.00,    0.11
  408.00,    0.11
  409.00,    0.11
  410.00,    0.10
  411.00,    0.11
  412.00,    0.11
  413.00,    0.10
  414.00,    0.10
  415.00,    0.10
  416.00,    0.10
  417.00,    0.10
  418.00,    0.10
  419.00,    0.10
  420.00,    0.10
  421.00,    0.10
  422.00,    0.10
  423.00,    0.10
  424.00,    0.09
  425.00,    0.09
  426.00,    0.10
  427.00,    0.10
  428.00,    0.10
  429.00,    0.10
  430.00,    0.10
  431.00,    0.09
  432.00,    0.09
  433.00,    0.09
  434.00,    0.10
  435.00,    0.10
  436.00,    0.09
  437.00,    0.09
  438.00,    0.09
  439.00,    0.09
  440.00,    0.09
  441.00,    0.09
  442.00,    0.09
  443.00,    0.09
  444.00,    0.10
  445.00,    0.09
  446.00,    0.09
  447.00,    0.10
  448.00,    0.10
  449.00,    0.09
  450.00,    0.10
  451.00,    0.10
  452.00,    0.10
  453.00,    0.10
  454.00,    0.11
  455.00,    0.11
  456.00,    0.11
  457.00,    0.11
  458.00,    0.11
  459.00,    0.12
  460.00,    0.11
  461.00,    0.12
  462.00,    0.12
  463.00,    0.12
  464.00,    0.12
  465.00,    0.12
  466.00,    0.13
  467.00,    0.13
  468.00,    0.13
  469.00,    0.13
  470.00,    0.14
  471.00,    0.14
  472.00,    0.15
  473.00,    0.14
  474.00,    0.15
  475.00,    0.15
  476.00,    0.15
  477.00,    0.15
  478.00,    0.16
  479.00,    0.16
  480.00,    0.16
  481.00,    0.17
  482.00,    0.17
  483.00,    0.17
  484.00,    0.17
  485.00,    0.18
  486.00,    0.18
  487.00,    0.18
  488.00,    0.19
  489.00,    0.19
  490.00,    0.19
  491.00,    0.19
  492.00,    0.20
  493.00,    0.20
  494.00,    0.21
  495.00,    0.21
  496.00,    0.21
  497.00,    0.21
  498.00,    0.21
  499.00,    0.22
  500.00,    0.23
  501.00,    0.24
  502.00,    0.24
  503.00,    0.25
  504.00,    0.26
  505.00,    0.26
  506.00,    0.27
  507.00,    0.27
  508.00,    0.29
  509.00,    0.30
  510.00,    0.31
  511.00,    0.31
  512.00,    0.33
  513.00,    0.33
  514.00,    0.34
  515.00,    0.35
  516.00,    0.37
  517.00,    0.38
  518.00,    0.39
  519.00,    0.39
  520.00,    0.40
  521.00,    0.41
  522.00,    0.42
  523.00,    0.42
  524.00,    0.43
  525.00,    0.43
  526.00,    0.44
